ID,habit,Dmax,M,alpha,kappa,slope,beta,zeta1
361,1,0.0057,0.0324,0.602,0.1734,2.7956,3.3422,0.0234
362,1,0.0061,0.0324,0.5055,0.2314,2.8215,2.0143,0.0326
363,1,0.0063,0.0324,0.5527,0.1319,2.3325,0.7078,0.1761
364,1,0.0065,0.0324,0.6419,0.1817,2.5126,1.468,0.1195
365,1,0.0069,0.0324,0.7155,0.1098,2.126,0.8235,0.0363
366,1,0.0071,0.0324,0.7226,0.2535,1.6813,0.1714,0.117
367,1,0.0073,0.0324,0.6367,0.2646,2.3196,0.6973,0.076
368,1,0.0075,0.0324,0.6459,0.1126,2.9366,6.5861,0.0735
369,1,0.0077,0.0324,0.5116,0.2397,2.7085,1.4015,0.0252
370,1,0.0097,0.0324,0.5467,0.2176,2.7413,2.3435,0.0211
371,2,0.0003,0.0324,0.6865,0.1623,3.8901,9.5741,0.0545
372,2,0.0005,0.0324,0.6102,0.2121,3.7626,8.1622,0.0416
373,2,0.0007,0.0324,0.5934,0.2508,3.7445,11.374,0.0301
374,2,0.0009,0.0324,0.6019,0.2369,3.6383,11.0949,0.0269
375,2,0.0011,0.0324,0.577,0.2452,3.6237,11.3886,0.0233
376,2,0.0013,0.0324,0.566,0.2701,3.3896,7.7497,0.0246
377,2,0.0015,0.0324,0.5126,0.2535,3.6113,12.6421,0.0197
378,2,0.0017,0.0324,0.4978,0.2812,3.5046,10.7639,0.022
379,2,0.0019,0.0324,0.5459,0.1485,3.1019,4.3559,0.0666
380,2,0.0021,0.0324,0.5846,0.1651,2.8741,3.5006,0.0485
381,2,0.0023,0.0324,0.5957,0.2286,3.0865,6.2604,0.0405
382,2,0.0025,0.0324,0.6162,0.2176,2.7695,3.1336,0.0579
383,2,0.0027,0.0324,0.582,0.2259,2.9122,3.6115,0.0479
384,2,0.0029,0.0324,0.5994,0.1706,2.6685,2.0466,0.0842
385,2,0.0031,0.0324,0.591,0.1706,2.7284,2.3961,0.0652
386,2,0.0033,0.0324,0.5959,0.2121,2.9259,3.9582,0.0252
387,2,0.0035,0.0324,0.5991,0.1734,2.8437,2.7767,0.0376
388,2,0.0037,0.0324,0.549,0.2314,2.5536,1.4479,0.0488
389,2,0.0039,0.0324,0.572,0.1955,2.6495,1.8537,0.0417
390,2,0.0041,0.0324,0.4891,0.2563,2.7855,1.4853,0.0486
391,2,0.0043,0.0324,0.5643,0.2121,2.7846,3.1064,0.0412
392,2,0.0045,0.0324,0.5053,0.0822,2.8694,2.8001,0.1451
393,2,0.0047,0.0324,0.4783,0.3226,2.751,1.0063,0.0273
394,2,0.0049,0.0324,0.5446,0.2535,3.1107,5.3693,0.0213
395,2,0.0053,0.0324,0.5829,0.2038,2.4051,0.9717,0.0863
396,2,0.0055,0.0324,0.5585,0.2563,2.0316,0.3408,0.0519
397,2,0.0057,0.0324,0.5467,0.2397,2.0013,0.3739,0.0742
398,2,0.0061,0.0324,0.5764,0.2563,1.9298,0.1997,0.0504
399,2,0.0063,0.0324,0.6454,0.2065,2.1617,0.8606,0.0498
400,2,0.0065,0.0324,0.5405,0.1789,2.4541,1.0538,0.1033
401,2,0.0067,0.0324,0.5747,0.154,2.3669,1.3046,0.0747
402,2,0.0069,0.0324,0.4789,0.1955,2.3606,0.6014,0.0432
403,2,0.0071,0.0324,0.599,0.1347,2.4051,1.3161,0.0352
404,2,0.0073,0.0324,0.6271,0.2756,3.3157,11.6831,0.0172
405,2,0.0079,0.0324,0.5432,0.1126,3.1195,4.3104,0.0448
406,2,0.0083,0.0324,0.4953,0.1678,2.1416,0.3475,0.0475
407,3,0.0003,0.0324,0.6926,0.1126,3.4464,5.4927,0.0473
408,3,0.0005,0.0324,0.6528,0.1899,3.0399,2.7848,0.0496
409,3,0.0007,0.0324,0.6503,0.2093,2.6437,1.5721,0.0666
410,3,0.0009,0.0324,0.6182,0.2204,2.5552,1.4199,0.0906
411,3,0.0011,0.0324,0.5995,0.2204,2.7095,1.9545,0.0543
412,3,0.0013,0.0324,0.5535,0.2397,2.5336,1.0003,0.0796
413,3,0.0015,0.0324,0.6143,0.2425,2.7048,2.944,0.0357
414,3,0.0017,0.0324,0.5303,0.1872,2.5398,1.1092,0.1164
415,3,0.0019,0.0324,0.5324,0.2397,2.8095,2.4258,0.0465
416,3,0.0021,0.0324,0.581,0.2369,3.1106,6.6915,0.0231
417,3,0.0023,0.0324,0.6022,0.2314,2.6169,1.911,0.064
418,3,0.0025,0.0324,0.5899,0.201,2.6473,1.8832,0.0635
419,3,0.0027,0.0324,0.6046,0.1899,2.853,2.7461,0.0492
420,3,0.0029,0.0324,0.5953,0.2065,3.1171,7.8824,0.0266
421,3,0.0031,0.0324,0.5934,0.1651,2.7496,2.3367,0.0739
422,3,0.0033,0.0324,0.6137,0.143,2.3661,0.8502,0.0764
423,3,0.0035,0.0324,0.5731,0.1872,2.6364,2.3361,0.0281
424,3,0.0037,0.0324,0.634,0.1623,2.48,1.3659,0.0663
425,3,0.0039,0.0324,0.5629,0.2259,2.9871,3.4078,0.0505
426,3,0.0041,0.0324,0.5916,0.1817,2.7568,2.4606,0.0611
427,3,0.0043,0.0324,0.6089,0.1651,3.2863,8.5218,0.037
428,3,0.0045,0.0324,0.6155,0.1513,2.3279,1.104,0.1391
429,3,0.0047,0.0324,0.5879,0.1844,2.5611,0.9803,0.0367
430,3,0.0051,0.0324,0.6351,0.1899,2.2206,0.6702,0.1909
431,3,0.0053,0.0324,0.7295,0.1734,2.581,2.8868,0.0711
432,3,0.0055,0.0324,0.6727,0.2342,1.5736,0.1039,0.3615
433,3,0.0057,0.0324,0.5382,0.2701,1.8625,0.1303,0.0361
434,3,0.0059,0.0324,0.6991,0.0739,1.9534,0.2708,0.2648
435,3,0.0067,0.0324,0.5775,0.107,2.2223,0.6336,0.0935
436,3,0.0069,0.0324,0.6154,0.2839,2.4547,1.0409,0.0716
437,3,0.0071,0.0324,0.627,0.049,1.7313,0.1808,0.2071
438,3,0.0073,0.0324,0.7189,0.1899,1.6793,0.2899,0.1313
439,3,0.0075,0.0324,0.5827,0.248,3.8126,29.3041,0.0107
440,3,0.0077,0.0324,0.5965,0.1485,2.5395,1.1522,0.0368
441,3,0.0079,0.0324,0.6366,0.1595,2.1077,0.4486,0.0821
442,3,0.0083,0.0324,0.4799,0.1899,1.2864,0.0327,0.2968
443,3,0.0087,0.0324,0.5411,0.2673,2.2267,0.451,0.029
444,4,0.0003,0.0324,0.7197,0.096,3.6415,4.6689,0.0396
445,4,0.0005,0.0324,0.6538,0.1402,3.1912,3.9887,0.0454
446,4,0.0007,0.0324,0.6525,0.1678,3.1184,4.3912,0.0479
447,4,0.0009,0.0324,0.6224,0.1734,2.9125,2.6074,0.0595
448,4,0.0011,0.0324,0.5998,0.1927,3.0007,3.2615,0.0474
449,4,0.0013,0.0324,0.5813,0.2176,2.7931,1.8631,0.0758
450,4,0.0015,0.0324,0.5597,0.2397,2.7508,1.953,0.0704
451,4,0.0017,0.0324,0.5269,0.2508,2.4597,0.9215,0.0602
452,4,0.0019,0.0324,0.5576,0.2204,2.5777,1.1586,0.0473
453,4,0.0021,0.0324,0.6124,0.2093,2.6724,2.4622,0.0524
454,4,0.0023,0.0324,0.6536,0.2369,2.7047,3.7509,0.0381
455,4,0.0025,0.0324,0.6566,0.1761,2.5364,1.5465,0.0795
456,4,0.0027,0.0324,0.6336,0.1927,2.5241,1.24,0.0727
457,4,0.0029,0.0324,0.6231,0.1678,2.4212,0.9479,0.0775
458,4,0.0031,0.0324,0.6113,0.1761,2.6502,1.6845,0.0556
459,4,0.0033,0.0324,0.6331,0.1899,2.5474,1.4009,0.0499
460,4,0.0035,0.0324,0.6257,0.1485,2.4295,0.9625,0.0817
461,4,0.0037,0.0324,0.6514,0.1872,2.7686,3.0614,0.0568
462,4,0.0039,0.0324,0.6063,0.2176,2.4719,1.1352,0.0621
463,4,0.0041,0.0324,0.5278,0.2563,2.9986,2.9609,0.0363
464,4,0.0043,0.0324,0.4961,0.2756,2.538,0.9298,0.0675
465,4,0.0045,0.0324,0.5104,0.248,2.9349,2.6907,0.0537
466,4,0.0047,0.0324,0.5078,0.248,2.8222,2.542,0.037
467,4,0.0049,0.0324,0.5246,0.2259,2.8095,2.796,0.0891
468,4,0.0051,0.0324,0.5478,0.2397,2.5097,1.3304,0.1274
469,4,0.0053,0.0324,0.5504,0.1955,2.1761,0.4728,0.0608
470,4,0.0055,0.0324,0.6362,0.1651,2.4536,1.203,0.0952
471,4,0.0057,0.0324,0.5754,0.1236,2.8172,2.2569,0.0755
472,4,0.0063,0.0324,0.6348,0.1015,2.0709,0.5626,0.1362
473,4,0.0067,0.0324,0.6264,0.2286,2.1904,0.7579,0.0698
474,4,0.0069,0.0324,0.7114,0.1153,1.8354,0.3461,0.0165
475,4,0.0073,0.0324,0.6734,0.154,2.1502,0.7523,0.0797
476,4,0.0077,0.0324,0.5849,0.259,2.817,2.9702,0.0615
477,4,0.0083,0.0324,0.6264,0.1706,1.9328,0.3892,0.1043
478,4,0.0085,0.0324,0.6985,0.1678,2.4823,1.9557,0.168
479,4,0.0087,0.0324,0.6431,0.1402,2.194,0.6822,0.1683
480,4,0.0091,0.0324,0.5558,0.0573,2.1487,0.6354,0.2534
481,4,0.0099,0.0324,0.5945,0.096,1.4124,0.0727,0.2226
482,5,0.0003,0.0324,0.7056,0.1209,3.8197,12.6206,0.0185
483,5,0.0005,0.0324,0.6896,0.1927,3.3409,3.9291,0.0278
484,5,0.0007,0.0324,0.6634,0.2093,3.1627,3.8287,0.0284
485,5,0.0009,0.0324,0.653,0.2148,2.9999,2.7339,0.04
486,5,0.0011,0.0324,0.6305,0.2148,3.0071,2.9862,0.0361
487,5,0.0013,0.0324,0.6084,0.2093,2.9729,2.5844,0.0459
488,5,0.0015,0.0324,0.5959,0.2121,3.0023,2.8304,0.0456
489,5,0.0017,0.0324,0.5577,0.2259,3.1761,4.5484,0.0362
490,5,0.0019,0.0324,0.5044,0.2342,2.62,0.8881,0.072
491,5,0.0021,0.0324,0.5941,0.1955,2.5604,1.118,0.0977
492,5,0.0023,0.0324,0.6648,0.1209,2.5717,1.4221,0.0892
493,5,0.0025,0.0324,0.6663,0.1899,2.7054,2.3344,0.0452
494,5,0.0027,0.0324,0.5739,0.2093,2.9934,3.6919,0.0436
495,5,0.0029,0.0324,0.6271,0.1955,2.8809,3.3128,0.0546
496,5,0.0031,0.0324,0.6068,0.2176,2.6639,2.1388,0.0494
497,5,0.0033,0.0324,0.5994,0.2231,2.7204,1.7759,0.054
498,5,0.0035,0.0324,0.6266,0.2065,2.7346,2.4532,0.0541
499,5,0.0037,0.0324,0.5882,0.1899,2.5646,1.767,0.0627
500,5,0.0039,0.0324,0.5913,0.1872,2.8602,2.6679,0.0496
501,5,0.0041,0.0324,0.5676,0.2065,2.43,0.7671,0.0862
502,5,0.0043,0.0324,0.5995,0.1872,2.4896,1.0993,0.0888
503,5,0.0045,0.0324,0.6095,0.2065,2.6533,1.4581,0.0574
504,5,0.0047,0.0324,0.5888,0.1374,2.9041,2.4542,0.1188
505,5,0.0049,0.0324,0.5621,0.1457,2.357,0.8297,0.0743
506,5,0.0051,0.0324,0.6316,0.1236,2.4108,1.3031,0.1772
507,5,0.0053,0.0324,0.5431,0.2121,3.192,7.2239,0.0278
508,5,0.0055,0.0324,0.5206,0.2812,2.9265,2.3185,0.0392
509,5,0.0061,0.0324,0.5915,0.201,2.6903,1.8616,0.0519
510,5,0.0065,0.0324,0.6287,0.2314,2.1094,0.5229,0.076
511,5,0.0069,0.0324,0.5489,0.1651,2.7706,1.566,0.0347
512,5,0.0071,0.0324,0.6049,0.1485,1.3025,0.0511,0.3715
513,5,0.0073,0.0324,0.4919,0.1872,2.4999,0.8839,0.0577
514,5,0.0075,0.0324,0.6902,0.0324,2.0196,0.3962,0.2673
515,5,0.0077,0.0324,0.6853,0.1457,2.1908,0.809,0.0139
516,5,0.0079,0.0324,0.6161,0.107,2.6507,1.6695,0.1657
517,5,0.0081,0.0324,0.6502,0.1568,2.2554,0.6904,0.0138
518,5,0.0085,0.0324,0.668,0.1319,1.6158,0.1784,0.2808
519,5,0.0087,0.0324,0.643,0.1844,1.3761,0.0777,0.2723
520,5,0.0089,0.0324,0.6599,0.1043,1.6166,0.1208,0.1268
521,5,0.0091,0.0324,0.5021,0.1513,2.4767,0.7896,0.0475
522,5,0.0093,0.0324,0.6564,0.1153,2.679,2.0623,0.0857
523,5,0.0097,0.0324,0.5752,0.1485,1.388,0.0568,0.437
524,5,0.0099,0.0324,0.5112,0.1319,2.0924,0.3077,0.1797
525,1,0.0003,0.0514,0.7767,0.1098,3.6127,3.0765,0.0998
526,1,0.0005,0.0514,0.6967,0.1623,3.5516,3.4251,0.0794
527,1,0.0007,0.0514,0.6329,0.1982,3.5389,4.1224,0.0578
528,1,0.0009,0.0514,0.5886,0.2259,3.4536,3.3362,0.0623
529,1,0.0011,0.0514,0.5802,0.2342,3.5299,4.6107,0.043
530,1,0.0013,0.0514,0.5689,0.2673,3.4092,3.8042,0.039
531,1,0.0015,0.0514,0.5364,0.2342,3.3388,3.5956,0.0481
532,1,0.0017,0.0514,0.576,0.2342,3.4874,6.509,0.0253
533,1,0.0019,0.0514,0.6052,0.2508,3.2813,3.6249,0.0262
534,1,0.0021,0.0514,0.6293,0.1568,3.5645,9.3257,0.0189
535,1,0.0023,0.0514,0.6094,0.1899,3.3092,5.4833,0.0361
536,1,0.0025,0.0514,0.6585,0.1651,3.2187,5.4128,0.0348
537,1,0.0027,0.0514,0.6073,0.2425,3.2062,3.818,0.0357
538,1,0.0029,0.0514,0.6222,0.2176,3.1114,4.3326,0.038
539,1,0.0031,0.0514,0.6411,0.143,2.9931,4.0524,0.025
540,1,0.0033,0.0514,0.5951,0.2397,3.0658,3.7043,0.0334
541,1,0.0035,0.0514,0.6465,0.2093,2.9,2.5488,0.0381
542,1,0.0037,0.0514,0.6124,0.201,2.85,2.3831,0.0542
543,1,0.0039,0.0514,0.5481,0.2508,3.3933,5.393,0.0288
544,1,0.0041,0.0514,0.6351,0.259,2.9203,3.0027,0.0388
545,1,0.0043,0.0514,0.5735,0.1982,3.1901,4.4054,0.0437
546,1,0.0045,0.0514,0.5743,0.1457,3.0469,3.0074,0.0369
547,1,0.0047,0.0514,0.5477,0.2618,3.4137,5.0259,0.0255
548,1,0.0049,0.0514,0.5836,0.1761,2.5813,1.0151,0.0851
549,1,0.0051,0.0514,0.5571,0.2121,3.336,7.8298,0.0365
550,1,0.0053,0.0514,0.5796,0.2231,2.9562,2.8372,0.0128
551,1,0.0055,0.0514,0.5429,0.259,3.3801,6.1692,0.0115
552,1,0.0057,0.0514,0.6533,0.1678,2.9289,3.7737,0.0237
553,1,0.0059,0.0514,0.5116,0.201,3.0802,3.9997,0.015
554,1,0.0061,0.0514,0.5766,0.2204,2.7489,1.8786,0.0324
555,1,0.0063,0.0514,0.5113,0.1789,2.572,0.8894,0.1222
556,1,0.0065,0.0514,0.6537,0.1899,2.8088,2.3935,0.0915
557,1,0.0069,0.0514,0.7227,0.107,2.3549,1.0927,0.0345
558,1,0.0071,0.0514,0.7402,0.2093,2.1208,0.5218,0.0497
559,1,0.0073,0.0514,0.6752,0.2369,2.0725,0.3857,0.0778
560,1,0.0075,0.0514,0.648,0.1734,2.705,2.0148,0.1374
561,1,0.0077,0.0514,0.6073,0.1927,3.4033,15.0008,0.0206
562,1,0.0079,0.0514,0.5926,0.2093,3.1365,4.0444,0.0599
563,1,0.0083,0.0514,0.7003,0.201,3.2282,5.8243,0.0302
564,1,0.0089,0.0514,0.5991,0.1789,1.9716,0.0666,0.0169
565,1,0.0097,0.0514,0.5876,0.2065,2.7617,2.2753,0.0248
566,1,0.0099,0.0514,0.5392,0.2425,3.387,5.3341,0.0118
567,2,0.0003,0.0514,0.7017,0.1844,3.8816,9.6657,0.0469
568,2,0.0005,0.0514,0.6167,0.2065,3.6664,5.9786,0.0539
569,2,0.0007,0.0514,0.6339,0.2425,3.6436,9.2382,0.0306
570,2,0.0009,0.0514,0.6361,0.2286,3.4329,6.3283,0.0345
571,2,0.0011,0.0514,0.595,0.2425,3.6125,10.1708,0.0256
572,2,0.0013,0.0514,0.5746,0.2563,3.3707,6.3818,0.0316
573,2,0.0015,0.0514,0.5277,0.2397,3.4864,6.4254,0.0273
574,2,0.0017,0.0514,0.51,0.2922,3.4514,7.6611,0.0276
575,2,0.0019,0.0514,0.5684,0.1844,3.2514,4.7612,0.0499
576,2,0.0021,0.0514,0.588,0.1761,3.1221,4.4356,0.0417
577,2,0.0023,0.0514,0.6118,0.1982,3.2225,6.3137,0.0395
578,2,0.0025,0.0514,0.6225,0.2176,3.1929,6.4001,0.0339
579,2,0.0027,0.0514,0.6015,0.2314,3.0455,3.9916,0.0467
580,2,0.0029,0.0514,0.6051,0.1872,2.9274,2.8717,0.0622
581,2,0.0031,0.0514,0.6086,0.1651,2.9008,2.8832,0.0579
582,2,0.0033,0.0514,0.6027,0.2314,2.9281,2.9061,0.0295
583,2,0.0035,0.0514,0.6158,0.1706,3.045,3.6945,0.0286
584,2,0.0037,0.0514,0.5486,0.2259,2.9264,2.6373,0.0442
585,2,0.0039,0.0514,0.5885,0.201,2.8389,2.3234,0.0332
586,2,0.0041,0.0514,0.5245,0.2812,3.0642,2.4756,0.0231
587,2,0.0043,0.0514,0.533,0.2176,3.2986,6.439,0.0181
588,2,0.0045,0.0514,0.6089,0.0241,2.7047,1.9781,0.1422
589,2,0.0047,0.0514,0.4442,0.2563,3.3635,2.8361,0.06
590,2,0.0049,0.0514,0.5354,0.2922,3.2654,4.8771,0.0265
591,2,0.0051,0.0514,0.5535,0.2369,2.8891,1.9171,0.0253
592,2,0.0053,0.0514,0.5861,0.248,2.9929,3.0597,0.0229
593,2,0.0055,0.0514,0.5661,0.2204,2.4629,0.6921,0.0934
594,2,0.0057,0.0514,0.5628,0.2425,2.3239,0.6392,0.0497
595,2,0.0059,0.0514,0.5624,0.259,2.2114,0.4601,0.0803
596,2,0.0061,0.0514,0.6336,0.2508,1.4697,0.0444,0.1258
597,2,0.0063,0.0514,0.6615,0.2176,2.1108,0.5898,0.0374
598,2,0.0065,0.0514,0.5569,0.2121,2.7988,1.5616,0.0706
599,2,0.0067,0.0514,0.5399,0.1402,2.7344,2.1219,0.0382
600,2,0.0069,0.0514,0.5521,0.1623,2.5882,1.3933,0.0652
601,2,0.0071,0.0514,0.5434,0.1513,2.8147,1.9373,0.0331
602,2,0.0073,0.0514,0.6331,0.2176,3.1125,6.4265,0.0253
603,2,0.0079,0.0514,0.5769,0.1098,2.9719,2.9169,0.0703
604,2,0.0081,0.0514,0.5094,0.1402,3.8371,11.0927,0.0103
605,2,0.0083,0.0514,0.4666,0.1706,2.801,1.1343,0.0055
606,3,0.0003,0.0514,0.7159,0.1098,3.5148,5.8506,0.0382
607,3,0.0005,0.0514,0.6664,0.1789,2.9734,2.2792,0.0562
608,3,0.0007,0.0514,0.6664,0.1982,2.6689,1.4654,0.0677
609,3,0.0009,0.0514,0.6465,0.2314,2.5761,1.5361,0.0735
610,3,0.0011,0.0514,0.6175,0.2204,2.7326,1.7039,0.0722
611,3,0.0013,0.0514,0.5865,0.2535,2.5423,1.0336,0.0709
612,3,0.0015,0.0514,0.5973,0.248,2.9218,3.1058,0.033
613,3,0.0017,0.0514,0.5403,0.2038,2.9145,2.2223,0.0719
614,3,0.0019,0.0514,0.5576,0.2397,2.9135,2.3647,0.0431
615,3,0.0021,0.0514,0.5801,0.2093,3.3109,7.5941,0.0215
616,3,0.0023,0.0514,0.5959,0.2535,2.7974,2.3685,0.0584
617,3,0.0025,0.0514,0.6017,0.1955,2.8849,2.5276,0.0435
618,3,0.0027,0.0514,0.6007,0.2093,3.1159,3.9775,0.041
619,3,0.0029,0.0514,0.6126,0.1761,3.4371,9.7229,0.0232
620,3,0.0031,0.0514,0.6,0.1899,3.1114,5.1891,0.0414
621,3,0.0033,0.0514,0.6237,0.1209,2.5196,1.0277,0.0814
622,3,0.0035,0.0514,0.5994,0.1927,2.9233,3.7251,0.0221
623,3,0.0037,0.0514,0.6217,0.1651,2.8169,2.3393,0.045
624,3,0.0039,0.0514,0.5865,0.1789,2.8698,2.0275,0.0577
625,3,0.0041,0.0514,0.6019,0.1955,3.1173,4.5202,0.0449
626,3,0.0043,0.0514,0.5908,0.1982,3.4274,9.2539,0.024
627,3,0.0045,0.0514,0.6276,0.1513,2.4667,1.3109,0.1382
628,3,0.0047,0.0514,0.6051,0.1595,3.0202,3.1085,0.0281
629,3,0.0049,0.0514,0.4724,0.2121,3.5719,5.4569,0.0265
630,3,0.0051,0.0514,0.6812,0.1817,2.5432,1.2333,0.1587
631,3,0.0053,0.0514,0.6461,0.1734,2.6531,1.8879,0.0888
632,3,0.0055,0.0514,0.6962,0.2231,2.2691,0.7648,0.1278
633,3,0.0057,0.0514,0.5773,0.2618,2.4891,0.5876,0.0525
634,3,0.0059,0.0514,0.6839,0.0656,2.1454,0.4352,0.1567
635,3,0.0061,0.0514,0.6066,0.1899,2.5724,0.9074,0.0494
636,3,0.0067,0.0514,0.5696,0.2038,2.7181,1.5545,0.1472
637,3,0.0069,0.0514,0.5961,0.2812,2.6086,1.2623,0.0554
638,3,0.0071,0.0514,0.6219,0.1181,2.1757,0.3994,0.2624
639,3,0.0073,0.0514,0.7586,0.1402,1.7738,0.3916,0.1211
640,3,0.0075,0.0514,0.6258,0.2204,2.685,2.1516,0.0575
641,3,0.0077,0.0514,0.596,0.1899,2.9935,3.5322,0.0267
642,3,0.0079,0.0514,0.6235,0.1789,2.4273,0.9957,0.0494
643,3,0.0083,0.0514,0.4754,0.2038,1.3401,0.0259,0.3467
644,3,0.0089,0.0514,0.5326,0.2701,2.6186,0.6009,0.0223
645,3,0.0091,0.0514,0.5617,0.259,2.5464,0.4692,0.0079
646,3,0.0099,0.0514,0.4578,0.1927,1.8671,0.0675,0.021
647,4,0.0003,0.0514,0.7254,0.1098,3.6347,4.712,0.0473
648,4,0.0005,0.0514,0.6715,0.1485,3.247,3.5069,0.0514
649,4,0.0007,0.0514,0.6633,0.1761,3.1387,4.4072,0.047
650,4,0.0009,0.0514,0.6417,0.1844,2.9734,2.7043,0.0564
651,4,0.0011,0.0514,0.6268,0.1955,2.9451,2.807,0.05
652,4,0.0013,0.0514,0.6054,0.2121,2.9714,2.8661,0.0636
653,4,0.0015,0.0514,0.581,0.2508,2.7374,1.6195,0.0582
654,4,0.0017,0.0514,0.5186,0.2508,3.2299,3.7288,0.0365
655,4,0.0019,0.0514,0.5092,0.2425,2.8041,1.5033,0.035
656,4,0.0021,0.0514,0.6393,0.2093,2.8032,2.8317,0.0436
657,4,0.0023,0.0514,0.656,0.2259,2.8221,4.1331,0.0379
658,4,0.0025,0.0514,0.6632,0.1817,2.8227,2.747,0.0558
659,4,0.0027,0.0514,0.6464,0.1899,2.7385,1.8034,0.055
660,4,0.0029,0.0514,0.6281,0.1678,2.5887,1.1123,0.0713
661,4,0.0031,0.0514,0.6119,0.1844,2.9279,2.5699,0.0404
662,4,0.0033,0.0514,0.6423,0.1899,2.6608,1.6816,0.049
663,4,0.0035,0.0514,0.6313,0.1651,2.5722,1.1252,0.0558
664,4,0.0037,0.0514,0.6665,0.1651,2.912,3.3872,0.0444
665,4,0.0039,0.0514,0.6175,0.1927,2.6823,1.7406,0.0588
666,4,0.0041,0.0514,0.5722,0.259,3.0199,2.9944,0.0319
667,4,0.0043,0.0514,0.5096,0.2618,2.5958,0.8216,0.0789
668,4,0.0045,0.0514,0.5091,0.2342,3.0915,2.6273,0.036
669,4,0.0047,0.0514,0.5221,0.2646,3.0663,4.0302,0.031
670,4,0.0051,0.0514,0.5365,0.248,2.6471,1.3743,0.1351
671,4,0.0053,0.0514,0.5784,0.201,2.5815,1.3396,0.0606
672,4,0.0055,0.0514,0.5894,0.1457,3.2395,5.5288,0.0444
673,4,0.0057,0.0514,0.6553,0.0877,2.5038,1.0166,0.11
674,4,0.0059,0.0514,0.5728,0.2148,2.4868,0.9063,0.0808
675,4,0.0063,0.0514,0.6443,0.0849,1.6925,0.1597,0.1389
676,4,0.0065,0.0514,0.6238,0.1319,2.882,3.0658,0.0564
677,4,0.0067,0.0514,0.6664,0.2148,2.2561,0.7971,0.0289
678,4,0.0069,0.0514,0.6896,0.1706,2.2259,0.6783,0.0973
679,4,0.0073,0.0514,0.6581,0.1264,2.3151,0.8882,0.0421
680,4,0.0075,0.0514,0.7161,0.1899,2.6044,1.9662,0.0346
681,4,0.0077,0.0514,0.568,0.2342,2.6398,1.721,0.0652
682,4,0.0079,0.0514,0.6227,0.2535,3.1752,4.2223,0.0609
683,4,0.0083,0.0514,0.6518,0.1872,2.2886,0.815,0.0884
684,4,0.0085,0.0514,0.6286,0.2204,2.0961,0.3828,0.1084
685,4,0.0087,0.0514,0.6729,0.1236,2.7233,2.4563,0.1146
686,4,0.0089,0.0514,0.6195,0.259,1.9731,0.3925,0.1338
687,4,0.0091,0.0514,0.5621,0.0131,2.6915,2.3125,0.1419
688,4,0.0093,0.0514,0.6029,0.1374,1.9549,0.1535,0.241
689,4,0.0099,0.0514,0.5532,0.0656,1.5894,0.109,0.0988
690,5,0.0003,0.0514,0.7331,0.1209,3.7889,10.7608,0.0197
691,5,0.0005,0.0514,0.7002,0.1982,3.2759,3.4225,0.0313
692,5,0.0007,0.0514,0.6745,0.2093,3.1469,3.1972,0.035
693,5,0.0009,0.0514,0.6541,0.2204,2.954,2.1139,0.0453
694,5,0.0011,0.0514,0.6486,0.2148,3.0198,2.6409,0.0376
695,5,0.0013,0.0514,0.6523,0.2038,2.8515,1.9373,0.055
696,5,0.0015,0.0514,0.5921,0.2065,3.0268,2.5652,0.0457
697,5,0.0017,0.0514,0.5652,0.201,2.8062,1.35,0.0663
698,5,0.0019,0.0514,0.5131,0.2231,2.8381,1.143,0.0715
699,5,0.0021,0.0514,0.57,0.2038,2.921,1.8981,0.0625
700,5,0.0023,0.0514,0.6761,0.1402,2.738,1.7156,0.0597
701,5,0.0025,0.0514,0.6733,0.1872,3.0097,4.0088,0.0419
702,5,0.0027,0.0514,0.6075,0.2065,3.1771,4.74,0.0354
703,5,0.0029,0.0514,0.6241,0.1927,3.136,4.9491,0.0443
704,5,0.0031,0.0514,0.6211,0.2148,2.8899,2.807,0.041
705,5,0.0033,0.0514,0.5956,0.2259,2.9631,2.5916,0.0398
706,5,0.0035,0.0514,0.6312,0.1982,3.0445,3.8386,0.0368
707,5,0.0037,0.0514,0.6103,0.1872,2.7817,2.4996,0.0541
708,5,0.0039,0.0514,0.6264,0.1844,3.1707,4.8071,0.0407
709,5,0.0041,0.0514,0.5651,0.1982,2.7033,1.0684,0.0618
710,5,0.0043,0.0514,0.5895,0.2065,2.6995,1.3964,0.0621
711,5,0.0045,0.0514,0.6231,0.1955,2.8302,1.9766,0.0553
712,5,0.0047,0.0514,0.5853,0.1485,3.069,2.9137,0.0903
713,5,0.0049,0.0514,0.5794,0.1513,2.8985,1.9167,0.0787
714,5,0.0051,0.0514,0.6501,0.1374,2.5835,1.7956,0.1162
715,5,0.0053,0.0514,0.5983,0.1568,2.8764,3.0753,0.0805
716,5,0.0055,0.0514,0.5254,0.259,3.3228,4.3947,0.0261
717,5,0.0057,0.0514,0.5791,0.2563,2.5584,1.0164,0.0863
718,5,0.0061,0.0514,0.6965,0.0296,2.3617,0.8795,0.1264
719,5,0.0063,0.0514,0.6017,0.2369,2.7142,2.0297,0.0435
720,5,0.0065,0.0514,0.6612,0.2646,2.0336,0.4332,0.0757
721,5,0.0067,0.0514,0.6352,0.1734,2.7718,1.4538,0.0497
722,5,0.0069,0.0514,0.5908,0.1236,2.7632,1.6037,0.05
