ID,habit,Dmax,M,alpha,kappa,slope,beta,zeta1
150,5,0.0017,0.0129,0.5091,0.2535,2.9629,3.042,0.0424
151,5,0.0019,0.0129,0.4675,0.2894,2.6301,1.0296,0.0415
152,5,0.0021,0.0129,0.6011,0.1651,2.4409,1.1727,0.1022
153,5,0.0025,0.0129,0.6335,0.201,2.5435,1.987,0.065
154,5,0.0027,0.0129,0.5597,0.2286,2.6788,2.3879,0.0501
155,5,0.0029,0.0129,0.6179,0.1899,2.4562,1.6061,0.0757
156,5,0.0031,0.0129,0.6109,0.2121,2.2669,1.091,0.0812
157,5,0.0033,0.0129,0.5824,0.248,2.3123,0.922,0.0879
158,5,0.0035,0.0129,0.632,0.1817,2.5409,2.4347,0.069
159,5,0.0037,0.0129,0.5846,0.2204,2.2755,0.9494,0.079
160,5,0.0039,0.0129,0.5485,0.1734,2.3514,0.8817,0.0552
161,5,0.0041,0.0129,0.5644,0.2065,2.0569,0.4585,0.1277
162,5,0.0043,0.0129,0.6007,0.1761,2.4448,1.1553,0.0908
163,5,0.0045,0.0129,0.5897,0.2231,2.4444,0.993,0.0738
164,5,0.0047,0.0129,0.5809,0.1209,2.4413,1.0327,0.1732
165,5,0.0049,0.0129,0.5746,0.1209,2.196,0.8657,0.1155
166,5,0.0051,0.0129,0.613,0.1291,2.4559,1.5144,0.1551
167,5,0.0053,0.0129,0.4972,0.3005,2.8976,4.1638,0.0219
168,5,0.0071,0.0129,0.5449,0.1844,1.4865,0.1219,0.2102
169,5,0.0079,0.0129,0.6511,0.1015,2.6223,1.8467,0.1743
170,5,0.0097,0.0129,0.511,0.1347,1.7745,0.1859,0.3139
171,1,0.0003,0.0205,0.7283,0.1264,3.5872,2.2672,0.0885
172,1,0.0005,0.0205,0.6525,0.1678,3.711,4.6303,0.0629
173,1,0.0007,0.0205,0.589,0.2065,3.7265,5.6432,0.0493
174,1,0.0009,0.0205,0.6026,0.2121,3.8482,10.5642,0.0305
175,1,0.0011,0.0205,0.592,0.2286,3.7859,11.8302,0.0266
176,1,0.0013,0.0205,0.5436,0.2259,3.6618,8.3927,0.0284
177,1,0.0015,0.0205,0.4788,0.259,3.6074,5.5131,0.0289
178,1,0.0017,0.0205,0.5064,0.2314,3.8085,11.7451,0.0279
179,1,0.0019,0.0205,0.4851,0.3116,3.847,14.6336,0.0173
180,1,0.0021,0.0205,0.6154,0.1651,3.21,6.0873,0.0236
181,1,0.0023,0.0205,0.5963,0.1623,3.0695,4.7169,0.043
182,1,0.0025,0.0205,0.6505,0.1706,2.9422,3.8969,0.0474
183,1,0.0027,0.0205,0.5955,0.248,2.9624,3.6862,0.0361
184,1,0.0029,0.0205,0.5959,0.1844,2.7407,2.5097,0.0439
185,1,0.0031,0.0205,0.6162,0.1844,2.702,2.7942,0.0372
186,1,0.0033,0.0205,0.5688,0.2508,2.9917,4.5111,0.0305
187,1,0.0035,0.0205,0.632,0.2038,2.4942,1.4622,0.0573
188,1,0.0037,0.0205,0.551,0.2204,2.7434,2.4038,0.0626
189,1,0.0039,0.0205,0.5594,0.2314,2.7978,2.1912,0.0388
190,1,0.0041,0.0205,0.5896,0.2563,2.4362,1.1488,0.0559
191,1,0.0043,0.0205,0.5808,0.1789,2.7326,2.9818,0.0629
192,1,0.0045,0.0205,0.4739,0.1651,3.1795,4.6353,0.0492
193,1,0.0047,0.0205,0.5911,0.2231,2.0438,0.3454,0.0649
194,1,0.0049,0.0205,0.5904,0.1651,2.7656,3.5883,0.0643
195,1,0.0053,0.0205,0.5614,0.248,2.6375,2.4275,0.0088
196,1,0.0055,0.0205,0.5603,0.2065,2.4786,1.6295,0.0375
197,1,0.0057,0.0205,0.5635,0.1872,2.6919,2.5987,0.0307
198,1,0.0061,0.0205,0.475,0.1761,2.5285,1.011,0.0712
199,1,0.0065,0.0205,0.6228,0.1568,2.191,0.7337,0.1701
200,1,0.0069,0.0205,0.7323,0.1319,1.7741,0.4275,0.0577
201,1,0.0071,0.0205,0.6844,0.2756,1.4447,0.0961,0.1401
202,1,0.0073,0.0205,0.6339,0.2369,2.2072,0.6151,0.1395
203,1,0.0075,0.0205,0.6389,0.1153,2.8722,7.4495,0.0759
204,1,0.0077,0.0205,0.5015,0.248,2.2341,0.5914,0.0379
205,1,0.0097,0.0205,0.5095,0.2314,2.6514,1.691,0.0216
206,2,0.0003,0.0205,0.6603,0.1623,3.8423,8.2815,0.0598
207,2,0.0005,0.0205,0.6047,0.2176,3.8554,10.4155,0.0378
208,2,0.0007,0.0205,0.598,0.2369,3.8279,15.3693,0.0246
209,2,0.0009,0.0205,0.5873,0.2259,3.6882,13.3839,0.0251
210,2,0.0011,0.0205,0.554,0.2397,3.706,15.7816,0.0213
211,2,0.0013,0.0205,0.5185,0.2618,3.3628,7.9281,0.0284
212,2,0.0015,0.0205,0.4683,0.2977,3.729,16.7244,0.0157
213,2,0.0017,0.0205,0.4905,0.2646,3.6129,15.3798,0.0124
214,2,0.0019,0.0205,0.5373,0.1402,2.964,4.0705,0.072
215,2,0.0021,0.0205,0.5705,0.1623,2.8279,4.0086,0.0521
216,2,0.0023,0.0205,0.5961,0.2314,2.8966,4.9456,0.0414
217,2,0.0025,0.0205,0.5975,0.2121,2.664,2.8554,0.0627
218,2,0.0027,0.0205,0.5797,0.2148,2.7259,2.9019,0.0636
219,2,0.0029,0.0205,0.5849,0.1817,2.4538,1.3941,0.0918
220,2,0.0031,0.0205,0.5669,0.1817,2.5378,1.7841,0.0817
221,2,0.0033,0.0205,0.5963,0.2065,2.7801,3.2634,0.0327
222,2,0.0035,0.0205,0.5666,0.1927,2.7535,2.5783,0.0464
223,2,0.0037,0.0205,0.5754,0.2038,2.2155,0.844,0.0571
